ageGroup,College
ageGroup,Families
ageGroup,Retirees
ageGroup,General Audience
ageGroup,Adults
ageGroup,Pre-Teens
ageGroup,High School
ageGroup,Grad Students
ageGroup,Young Adults
ageGroup,Seniors
ageGroup,All Ages
ageGroup,Teens
ageGroup,Middle School
ageGroup,Children
author,Sefi Atta
author,Chimamanda Ngozi Adichie
author,Chinua Achebe
author,Chinelo Okparanta
author,J.D. Salinger
author,Helon Habila
author,Nnedi Okorafor
author,Wole Soyinka
author,Buchi Emecheta
author,Teju Cole
author,J.K. Rowling
author,George R.R. Martin
author,Haruki Murakami
author,Paulo Coelho
author,Agatha Christie
author,Jane Austen
author,Gabriel García Márquez
author,Stephen King
author,Leo Tolstoy
genre,Romance
genre,Thriller
genre,Biography
genre,History
genre,Self-Help
genre,Cooking
genre,Travel
genre,Poetry
genre,Children's
genre,Science
genre,Horror
genre,Business
genre,Young Adult
genre,Classics
genre,Graphic Novels
genre,Engineering
genre,Medicine
genre,Medical
genre,Fantasy
genre,Mystery
genre,Science Fiction
genre,Non-Fiction
genre,Fiction
location,Festac
location,Ikoyi
location,Lagos Island,Island,Tinubu
location,Lekki,Ikate
location,Yaba,yaba tech
